板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
主板,美的集团股份有限公司,"Midea Group Co., Ltd.",广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼,000333,美的集团,2013-09-18,7028673524,6887614580,,,,0,0,华南,广东,佛山市,C 制造业,www.midea.com,-,-,-
主板,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",山东省潍坊市高新技术产业开发区福寿东街197号甲,000338,潍柴动力,2007-04-30,6783516821,5046201144,,,,0,0,华东,山东,潍坊市,C 制造业,www.weichaipower.com,-,-,-
主板,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD.",河南省许昌市许继大道1298号,000400,许继电气,1997-04-18,1019009309,1008306159,,,,0,0,华中,河南,许昌市,C 制造业,www.xjec.com,-,-,-
主板,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD",河北省唐山市丰润区林荫路,000401,冀东水泥,1996-06-14,2658214631,1547299781,,,,0,0,华北,河北,唐山市,C 制造业,www.jdsn.com.cn,-,-,-
主板,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD.",北京市西城区金城坊街7号,000402,金 融 街,1996-06-26,2988929907,2987829036,,,,0,0,华北,北京,北京市,K 房地产,www.jrjkg.com.cn,-,-,-
主板,派斯双林生物制药股份有限公司,"Pacific Shuanglin Bio-pharmacy Co., LTD",山西省太原市晋源区长兴南街8号阳光城环球金融中心3004室,000403,派林生物,1996-06-28,732645729,636937175,,,,0,0,华北,山西,太原市,C 制造业,www.slbiop.com,-,-,-
主板,长虹华意压缩机股份有限公司,"CHANGHONG HUAYI COMPRESSOR CO., LTD.",江西省景德镇市高新区长虹大道1号,000404,长虹华意,1996-06-19,695995979,694843822,,,,0,0,华东,江西,景德镇市,C 制造业,www.hua-yi.cn,-,-,-
主板,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD.",山东省济南市高新区港兴三路北段济南药谷1号楼B座32层,000407,胜利股份,1996-07-03,880084656,875767412,,,,0,0,华东,山东,济南市,D 水电煤气,www.vicome.com,-,-,-
主板,藏格矿业股份有限公司,ZANGGE MINING COMPANY LIMITED,青海省格尔木市昆仑南路15-02号,000408,藏格矿业,1996-06-28,1580435073,1580418573,,,,0,0,西北,青海,海西蒙古族藏族自治州,C 制造业,www.zanggekuangye.com,-,-,-
主板,云鼎科技股份有限公司,"Yunding Technology Co.,Ltd.",山东省济南市工业南路57-1号高新万达J3写字楼19层1910室,000409,云鼎科技,1996-06-27,664210505,423376995,,,,0,0,华东,山东,济南市,I 信息技术,www.yundingkeji.cn,-,-,-
